action_rank,base_review_priority_rank,bill_id,public_law_number,policy_area,lifecycle_readiness_tier,review_score,high_priority_gaps,closed_review_gates,closed_review_gate_count,actionable_high_priority_gaps,actionable_gap_count,court_direct_review_status,court_direct_review_rows,court_direct_review_direct_rows,court_direct_review_not_direct_rows,court_direct_review_temporal_exclusions,next_actionable_upgrade_gate,next_actionable_upgrade_reason,next_source_family,next_source_command,action_packet,claim_boundary
27,27,117-hr-6899,117-185,International Affairs,tier_3_representation_influence_context_candidate,12,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-6899 | public_law=117-185 | base_rank=27 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
28,28,117-hr-7334,117-165,Commerce,tier_3_representation_influence_context_candidate,12,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-7334 | public_law=117-165 | base_rank=28 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
29,29,117-s-2089,117-158,Agriculture and Food,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-2089 | public_law=117-158 | base_rank=29 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
30,30,117-s-2520,117-150,Emergency Management,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-2520 | public_law=117-150 | base_rank=30 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
31,31,117-s-270,117-123,Public Lands and Natural Resources,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-270 | public_law=117-123 | base_rank=31 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
32,32,117-s-3522,117-118,International Affairs,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-3522 | public_law=117-118 | base_rank=32 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
33,33,117-s-4900,117-183,Commerce,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-4900 | public_law=117-183 | base_rank=33 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
34,34,117-s-558,117-316,Public Lands and Natural Resources,tier_5_bill_action_context_only,9,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-558 | public_law=117-316 | base_rank=34 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
35,35,117-hr-5681,117-113,Immigration,tier_5_bill_action_context_only,9,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-5681 | public_law=117-113 | base_rank=35 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
36,36,117-s-3470,117-211,Government Operations and Politics,tier_5_bill_action_context_only,8,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-s-3470 | public_law=117-211 | base_rank=36 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
37,37,117-s-3969,117-182,Government Operations and Politics,tier_5_bill_action_context_only,8,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-s-3969 | public_law=117-182 | base_rank=37 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
38,38,117-s-3157,117-210,Immigration,tier_5_bill_action_context_only,6,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-3157 | public_law=117-210 | base_rank=38 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
39,39,117-s-3294,117-111,Congress,tier_5_bill_action_context_only,5,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-s-3294 | public_law=117-111 | base_rank=39 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
40,40,117-s-497,117-121,Public Lands and Natural Resources,tier_5_bill_action_context_only,5,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-s-497 | public_law=117-121 | base_rank=40 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
